단말기명,모델명,출고가,출시일자,통신사
aka,"lg-f520k,lg-f520l,lg-f520s",528000,2014-11-11,"KT,LG,SKT"
aka,lg-f520s,399300,2014-12-10,SKT
band play,lg-f570s,349800,2015-06-25,SKT
band play,lg-f570s,297000,2015-11-05,SKT
be y phone,"hw-vns-l62,hw-vns-l62b",316800,2016-08-24,KT
blackberry priv,"stv100-3_omd,omd rim priv",598000,2016-09-20,KT.SKT
f70,"lg-f370k,lg-f370s,lg-f370l",279400,2014-05-21,"KT,LG,SKT"
g flex,"lg-f340k,lg-f340l,lg-f340s",999900,2013-11-12,"KT,LG,SKT"
g flex2,"lg-f510k,lg-f510l,lg-f510s",899800,2015-01-30,"KT,LG,SKT"
g stylo,lg-f560k,517000,2015-04-24,KT
g3,"lg-f400k,lg-f400l,lg-f400s",599500,2014-05-28,"KT,LG,SKT"
g3 beat,"lg-f470k,lg-f470l,lg-f470s",499400,2014-07-17,"KT,LG,SKT"
g3 beat,"lg-f470k,lg-f470l,lg-f470s",399300,2014-11-19,"KT,LG,SKT"
g3 cat.6,"lg-f460k,lg-f460l,lg-f460s",649000,2014-07-25,"KT,LG,SKT"
g3 cat.6,"lg-f460k,lg-f460l,lg-f460s",599500,2015-09-01,"KT,LG,SKT"
g3a,lg-f410s,740000,2014-08-08,SKT
g3a,lg-f410s,451000,2015-01-18,SKT
g4,"lg-f500k, lg-f500kc,lg-f500l,lg-f500s",825000,2015-04-29,"KT,LG,SKT"
g4,"lg-f500k, lg-f500kc,lg-f500l,lg-f500s",699600,2015-08-22,"KT,LG,SKT"
g4,"lg-f500k, lg-f500kc,lg-f500l,lg-f500s",599500,2016-01-08,"KT,LG,SKT"
galaxy a3 2016,"sm-a310n0, sm-a310n0, sm-a310s, sm-a310k, sm-a710l",352000,2016-03-07,"KT,LG,SKT"
galaxy j3 2016,sm-j320n0,231000,2016-05-04,"KT,LG,SKT"
galaxy j5 2017,"sm-j530k,sm-j530l,sm-j530s",344300,2017-07-04,"KT,LG,SKT"
galaxy j7 2017,sm-j730k,396000,2017-07-21,KT
galaxy note fe,"sm-n935k,sm-n935l,sm-n935s",699600,2017-07-07,"KT,LG,SKT"
galaxy on7 2016,"sm-g610k,sm-g610l,sm-g610s",399300,2016-11-30,"KT,LG,SKT"
galaxy s3 16g,"shv-e210l16, ",961400,2012-09-27,LG
galaxy s3,"shv-e210k, shv-e210l, shv-e210s ",994400,2012-09-27,"KT,LG,SKT"
galaxy s3,shw-m440s,904000,2012-05-29,SKT
galaxy tab a 10.1,sm-t585n0k,363000,2017-02-27,KT
galaxy tab s3 lte,sm-t825n,859000,2017-05-14,KT
g pro2,"lg-f350k, lg-f350l, lg-f350s",999000,2014-02-21,"KT,LG,SKT"
g pro2,"lg-f350k, lg-f350l, lg-f350s",799700,2014-06-01,"KT,LG,SKT"
g pro2,lg-f350s,572000,2015-05-01,SKT
im-100,"im-100k, im-100s",449900,2016-06-30,"KT, SKT"
im-100,im-100k,379500,2016-10-28,"KT, SKT"
im-100,im-100k,253000,2016-12-24,"KT, SKT"
iphone 5 16gb,"aip5-16w,aip5-16",484000,2012-12-07,"KT, SKT"
iphone 5s 16gb,"aip5s-16sg,aip5s-16gd,aip5s-16sv,iphone5s_16g",814000,2013-10-25,"KT, SKT"
iphone 5s 32gb,iphone5s_32g,946000,2013-10-25,"KT, SKT"
iphone 5s 64gb,iphone5s_64g,1078000,2013-10-25,"KT, SKT"
iphone 5s demo,iphone5_demo,184800,2013-10-25,"KT, SKT"
iphone 6s 128gb,"aip6s-128gd,aip6s-128sg,aip6s-128rg,aip6s-128sv,aip6s-16rg,aip6s-16sv,aip6s-16gd,aip6s-16sg,aip6s-64sv,aip6s-64gd,aip6s-64sg,aip6s-64rg,iphone6s_128g,iphone6s_16g,iphone6s_32gw,iphone6s_64g,re_iphone6s_128g,re_iphone6s_16g,re_iphone6s_64g",1200000,2015-10-23,"KT,LG,SKT"
iphone 6s plus 16gb,"aip6sp-16gd,aip6sp-16sv,aip6sp-16rg,aip6sp-16sg",1060000,2015-10-23,"KT,LG,SKT"
iphone 6s plus 64gb,"aip6sp-64sg,aip6sp-64sv,aip6sp-64gd",1200000,2015-10-23,"KT,LG,SKT"
iphone 6s plus 128gb,"aip6sp-128rg,aip6sp-128sg,aip6sp-128sv,aip6sp-128gd",1340000,2015-10-23,"KT,LG,SKT"
iphone 7 32gb,"aip7-32sv,aip7-32bk,aip7-32gd",869000,2016-10-21,"KT,LG,SKT"
iphone 7 128gb,"aip7-128sv, aip7-128rd, aip7-128jb, aip7-128bk, aip7-128gd, aip7-128rg",999000,2016-10-21,"KT,LG,SKT"
iphone 7 256gb,"aip7-256rd,aip7-256sv,aip7-256rg,aip7-256jb,aip7-256gd,aip7-256bk",1130800,2016-10-21,"KT,LG,SKT"
iphone 7 plus 32gb,"aip7p-32sv,aip7p-32gd,aip7p-32bk",1021900,2016-10-21,"KT,LG,SKT"
iphone 7 plus 128gb,"aip7p-128gd,aip7p-128bk,aip7p-128rd,aip7p-128jb,aip7p-128rg,aip7p-128sv",1152800,2016-10-21,"KT,LG,SKT"
iphone 7 plus 256gb,"aip7p-256jb, aip7p-256sv,aip7p-256gd,aip7p-256bk,aip7p-256rg,aip7p-256rd",1283700,2016-10-21,"KT,LG,SKT"
iphone se 16gb,"aipse-16sg,aipse-16rg,aipse-16sv,aipse-16gd",504900,2016-05-10,"KT,LG,SKT"
iphone se 64gb,"aipse-64gd,aipse-64sv,aipse-64rg,aipse-64sg,iphone se_16g,iphone se_64g,re_iphone se_64g",634700,2016-05-10,"KT,LG,SKT"
헬로키티폰,km-k01s,185900,2017-02-24,SKT
lg class,"lg-f620k,lg-f620l,lg-f620s",399300,2015-09-11,"KT,LG,SKT"
lg g2,"lg-f320l,lg-f320s, lg-f320k",616000,2013-08-08,"KT,LG,SKT"
lg g3 screen,"lg-f490l, lg-f490k, lg-f490s",803000,2014-10-24,"KT,LG,SKT"
lg g3 screen,"lg-f490l, lg-f490k, lg-f490s",555000,2015-01-08,"KT,LG,SKT"
lg g3 screen,"lg-f490l, lg-f490k, lg-f490s",451000,2015-08-03,"KT,LG,SKT"
lg g3 screen,"lg-f490l, lg-f490k, lg-f490s",154000,2016-04-01,"KT,LG,SKT"
lg g5,"lg-f700k,lg-f700l,lg-f700s",699600,2016-10-12,"KT,LG,SKT"
lg g5,"lg-f700k,lg-f700l,lg-f700s",836000,2016-03-31,"KT,LG,SKT"
lg g6 64gb,"lgm-g600k,lgm-g600l,lgm-g600s",899800,2017-03-02,"KT,LG,SKT"
lg g6 32gb,"lgm-g600kr,lgm-g600sr,lgm-g600lr",819500,2017-06-30,"KT,LG,SKT"
lg g6 블랙에디션,lgm-g600kfb,899800,2017-03-29,KT
lg g6 plus 128gb,"lgm-g600kp,lgm-g600sp,lgm-g600lp",957000,2017-06-30,"KT,SKT"
lg gx,"lg-f310lr,lg-f310l",352000,2014-12-06,LG
lg gx,"lg-f310lr,lg-f310l",528000,2013-12-16,LG
lg k10,"lg-f670k,lg-f670s,lg-f670l",275000,2016-01-15,"KT,LG,SKT"
lg stylus2,"lg-f720k,lg-f720s,lg-f720sl",319000,2017-01-24,"KT,LG,SKT"
lg stylus2,"lg-f720k,lg-f720s,lg-f720sl",396000,2016-03-10,"KT,LG,SKT"
lg v10,"lg-f600k,lg-f600l,lg-f600s",599500,2016-08-16,"KT,LG,SKT"
lg v10,"lg-f600k,lg-f600l,lg-f600s",799700,2015-10-08,"KT,LG,SKT"
lg v20,"lg-f800k,lg-f800l,lg-f800s",899800,2016-09-29,"KT,LG,SKT"
lg x screen,"lg-f650k,lg-f650l,lg-f650s",319000,2016-03-22,"KT,LG,SKT"
lg x skin,lg-f740l,176000,2017-07-17,LG
lg x skin,lg-f740l,231000,2016-06-23,LG
lg x300,"lgm-k120l,lgm-k120k,lgm-k120s",253000,2017-01-17,"KT,LG,SKT"
lg x400,"lgm-k121k,lgm-k121l,lgm-k121s",319000,2017-02-21,"KT,LG,SKT"
lg x5,lg-f770s,275000,2016-07-05,SKT
lg x500,"lgm-x320k,lgm-x320s",319000,2017-06-04,"KT,LG,SKT"
lg iscream smart,lg-f440l,286000,2015-08-03,LG
lg iscream smart,lg-f440l,319000,2015-01-26,LG
lg 젠틀,lg-f580l,242000,2015-07-27,LG
lg x-cam,lg-f690l,396000,2016-06-30,LG
lg u,lg-f820l,396000,2016-10-31,LG
luna,tg-l800s,378400,2016-04-01,SKT
luna,tg-l800s,449900,2015-09-04,SKT
nexus 5x 16gb,"lg-h791,lg-h791_16g",132000,2017-05-25,"KT,LG,SKT"
nexus 5x 16gb,"lg-h791,lg-h791_16g",242000,2016-04-02,"KT,LG,SKT"
nexus 5x 16gb,"lg-h791,lg-h791_16g",379500,2016-03-01,"KT,LG,SKT"
nexus 5x 16gb,"lg-h791,lg-h791_16g",452350,2015-12-10,"KT,LG,SKT"
nexus 5x 16gb,"lg-h791,lg-h791_16g",509000,2015-10-20,"KT,LG,SKT"
nexus 5x 32gb,"lg-h791_32g,lg-h791_32g",398200,2016-04-02,"KT,LG,SKT"
nexus 5x 32gb,"lg-h791_32g,lg-h791_32g",512350,2015-12-10,"KT,LG,SKT"
nexus 5x 32gb,"lg-h791_32g,lg-h791_32g",569000,2015-09-30,"KT,LG,SKT"
nexus 6p,h1512,599500,2015-12-04,SKT
xperia xz,"omd sony xz,xpr-xz_omd",550000,2017-07-14,"KT,SKT"
xperia xz,"omd sony xz,xpr-xz_omd",699600,2017-05-17,"KT,SKT"
xperia xz,"omd sony xz,xpr-xz_omd",798600,2016-10-10,"KT,SKT"
xperia xz premium,omd sony xzp,799700,2017-05-30,"KT,SKT"
