모델명,용량
aka,16gb
band play,16gb
be y phone,16gb
blackberry priv,32gb
f70,8gb 
g flex,32gb
g flex2,32gb
g stylo,8gb
g3 beat,8gb 
g3 cat.6,32gb
g3a,32gb
g4,32gb
galaxy a3 2016,16gb
galaxy j3 2016,8gb
galaxy j5 2017,16gb
galaxy j7 2017,16gb
galaxy note fe,64gb
galaxy on7 2016,16gb
galaxy tab s3 lte,32gb
im-100,32gb
헬로키티폰,4gb
lg class,16gb
lg g3 screen,32gb
lg g5,32gb
lg g6 블랙에디션,32gb
lg gx,32gb
lg stylus2,16gb
lg k10,16gb
lg v10,64gb
lg v20,64gb
lg x screen,16gb
lg x skin,16gb
lg x300,16gb
lg x5,16gb
lg iscream smart,8gb
lg 젠틀,4gb
lg x-cam,16gb
lg u,32gb
luna,16gb
xperia xz premium,64gb
q6,32gb
galaxy wide2,16gb
sol prime,32gb
vu3,16gb
x power,16gb
xperia x performance,32gb
xperia z2,16gb
xpr-c3,8gb
y6,8gb
galaxy a5 2015,16gb
galaxy a5 2017,32gb
galaxy a7 2015,16gb
galaxy j5 2016,16gb
galaxy j7 2016,16gb
galaxy grand max,16gb
galaxy round,32gb
galaxy win,8gb
galaxy note3 neo,16gb
galaxy note7,64gb
galaxy mega,16gb
galaxy wide,16gb
galaxy core advance,8gb
galaxy folder,8gb
galaxy folder2 ,16gb
galaxy a5 2016,16gb
galaxy a7 2017,32gb
galaxy a8 2016,32gb
galaxy j7 sense plus,16gb
galaxy s3 3g,8gb
galaxy s4 active,32gb
galaxy s5 ,32gb
galaxy note edge,32gb
galaxy note4 ,32gb
linefriends smartphone,16gb
luna s,32gb
vega lte-a,16gb
vega number6,32gb
vega secret up,16gb
vega secret note,32gb
vega iron2,32gb
volt,8gb
view3,16gb
optimus g,32gb
optimus view2,16gb
wine smart,4gb
wine smart jazz,4gb
huawei x3,32gb
